,location_id,location_name
0,0,16_Avenue_Tiled_Steps
1,1,California_Academy_of_Sciences
2,2,Alcatraz_Island
3,3,Cable_Cars
4,4,Exploratorium
5,5,or5-Golden_Gate_Bridge
6,6,Golden_Gate_Park
7,7,Lands_End
8,8,Oracle_Park
9,9,Palace_of_Fine_Arts_Theatre
10,10,Twin_Peaks
11,11,Walt_Disney_Family_Museum
12,12,Ferry_Building_Marketplace
13,13,Lombard_Street
14,14,San_Francisco_Museum_of_Modern_Art_SFMOMA
15,15,Coit_Tower
16,16,Legion_of_Honor
17,17,San_Francisco_Bay
18,18,Pier_39
19,19,or1395-Museum_of_Ice_Cream
20,20,San_Francisco_Botanical_Garden
21,21,De_Young_Museum
22,22,Cable_Car_Museum
23,23,Presidio_of_San_Francisco
24,24,Baker_Beach
25,25,Angel_Island_State_Park
26,26,Mission_Dolores_Park
27,27,Fisherman_s_Wharf
28,28,Japanese_Tea_Garden
29,29,Ghirardelli_Square
30,30,Chinatown
31,31,Union_Square
32,32,Painted_Ladies
33,33,Haight_Ashbury
