Name,16_Avenue_Tiled_Steps,California_Academy_of_Sciences,Alcatraz_Island,Cable_Cars,Exploratorium,or5-Golden_Gate_Bridge,Golden_Gate_Park,Lands_End,Oracle_Park,Palace_of_Fine_Arts_Theatre,Twin_Peaks,Walt_Disney_Family_Museum,Ferry_Building_Marketplace,Lombard_Street,San_Francisco_Museum_of_Modern_Art_SFMOMA,Coit_Tower,Legion_of_Honor,San_Francisco_Bay,Pier_39,or1395-Museum_of_Ice_Cream,San_Francisco_Botanical_Garden,De_Young_Museum,Cable_Car_Museum,Presidio_of_San_Francisco,Baker_Beach,Angel_Island_State_Park,Mission_Dolores_Park,Fisherman_s_Wharf,Japanese_Tea_Garden,Ghirardelli_Square,Chinatown,Union_Square,Painted_Ladies,Haight_Ashbury
Swimmy128,50,,,,,40,,,,,,,50,,,,,,30,,,,,,,,,30,,,,,,
atriciaff,50,,,40,,50,,50,,,50,,,,,,,,,,,,,,,,,,,,,,,
Denise1236123,50,,50,,,,,,,,50,,,50,,,,,,,,,,,,,,,,,,,30,
reise-tanta-di,50,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
ViorikaMontreal,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
beltonlim,50,,,50,50,,,,,,,,,,,,,,,40,,,,,,,,50,,,,,,
justweems,50,,,,,50,,,,50,,,50,40,,,,50,,,,,,,,,,30,,40,,,,
KissXX,50,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
rosievil,40,50,,50,,50,,,,,50,,,50,,,,50,50,,,,,,,,,50,,,,,,
WaitForIttttt,50,,40,50,,50,,,,40,,,,50,,,,,40,,40,,,50,50,,,30,,,,,40,50
WillieMacfan,50,,,,,,,50,,,50,,40,,,,50,,,,,50,,,,,,,,,,,,
jnaggie,50,,,40,,,40,,,,,40,40,50,,,40,50,50,,,,,,,,,40,,,,,,
Jrali1,50,,,50,,50,,,,,,,30,50,,,,,,,,,,,,,,10,,,,,,
130michaele,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollytrea,30,,50,,,50,40,,,50,50,,40,30,,50,,,40,,,,,40,,,,30,50,40,,,40,
eleanorgeorgeburke,50,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
conradm842,50,,,50,,,,,,,,,,50,,,,,,,,,50,,,,50,,30,,,,,
madgekho,50,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeaEmZed,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,50,
PirateJas,50,,50,40,,,,50,,,,,,40,,50,,,40,,,,,,,,,40,50,30,,,50,
kilroy1951,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timtex0527,30,50,,,,50,,,,,,,,40,,40,,,10,,,,,,,,,40,50,,50,,,
LiveAGr8Story,40,,50,,,,,,,,,,,50,,,,,30,,,,40,,,,40,,,,,,,
JennE402,40,,50,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
markwN6292ZG,50,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,
tsb504,50,,50,,,,,,50,,,,,,,,,,,,50,,,,,,,50,,,,,,
221natashat,30,,,50,50,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
Gcrevt,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobsilverado,50,,,,,50,,,,,40,,,50,,,,,,,,,,,,,,,,,,,,
Subourd,50,,,40,,,,,,,,,,,,40,,,50,,,,,,,,,,50,,,,,
MumbaiExpl0rer,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gregoryt594,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sj764,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmJayBV,50,,,,,,50,,,,50,,,30,,,,,,,,,,,,,30,30,,,,,,
RubyD16,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MalakoffR,50,,,50,,40,,,,,,,,,,,,,,,,,,,,,50,,,,,,,
busconi,50,,,50,,50,,50,,,,50,40,50,,50,,,40,,,50,,50,,,50,40,50,40,50,,,
QuangBee,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patriciaulku,50,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,
MonkeyKing814,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3981JBmonicat,50,,,50,,50,40,,,,,,30,,,,,,50,,,,,,,,,,,,,,,
ErnieKo,40,,,,,,40,,,,40,,,,,,,,,,,,,,,,,,,,,,30,
joanieatthefog,50,,,,,50,,50,,,,,50,20,,,,,,,,,,,,,,,,,,,,
bldit2,50,,,,,,,,,,50,,50,,30,,,,,,50,50,,50,,,50,,,,,,,
jehenson81,40,40,,40,30,50,50,40,,50,40,50,40,50,50,50,50,40,40,,,30,50,40,40,,40,40,,40,40,40,30,
Amandamonkey,30,,,,,,,50,40,,50,,40,,,,,,,,,,,,,,,,,,40,,,
GinnyJ109,50,,,,,,50,50,,,50,,,,,,,,,30,,,,,,,,,,,,,,
RoniKo,40,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
808allisonc,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,
