User_Name,"Dragon Beaux, San Francisco","Seven Hills, San Francisco","Acquerello, San Francisco","Betty Lou's Seafood and Grill, San Francisco","Sweet Maple, San Francisco","Ristorante Franchino, San Francisco","Harborview Restaurant & Bar, San Francisco","Nob Hill Cafe, San Francisco","Piccolo Forno, San Francisco","Lapisara Eatery, San Francisco","Coqueta, San Francisco","Anchor Oyster Bar & Seafood Market, San Francisco","ALX by Alexander's Steakhouse, San Francisco","Hollywood Cafe, San Francisco","Off the Grid: Fort Mason Center, San Francisco","Pacific Catch, San Francisco","Mersea Restaurant, San Francisco","Quince, San Francisco","The Grotto, San Francisco","Hog Island Oyster Company, San Francisco","Boulevard, San Francisco","Chapeau!, San Francisco","The House, San Francisco","Delancey Street Restaurant, San Francisco",SPIN San Francisco,"Chez Maman, San Francisco","Mo's Grill, San Francisco","Burma Superstar Restaurant, San Francisco","L'ardoise Bistro, San Francisco","La Ciccia, San Francisco","New Thai Elephant, San Francisco","E Tutto Qua, San Francisco","Pacific Cafe, San Francisco","Kokkari Estiatorio, San Francisco","Eight Am, San Francisco","Jeanne D'Arc Restaurant, San Francisco","Pier Market Seafood Restaurant, San Francisco"
milkdemcows,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Frank-in-SF,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris F,3.0,,,,3.0,,,,,,,,,,,,,,,,5.0,4.0,,4.0,,,,3.0,,,,,,,,,
oregonpoppa,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yvonnechang2019,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TravelingAuntMarian,5.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeeTheWorld4Peace,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnrepentantFoodie,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
UnrepentantFoodie,2.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Gene G,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
Gene G,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
mapinault,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OttoAdventurer,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTO09,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,
BD3856,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
muhlberg,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecfeesh,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HikingHonu,4.0,,,,,,,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
sunjoe075,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJSKS,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,
Dusk_Treader,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commanderof T,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sherry w,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
BPenuliar2015,5.0,,,,,,,,,,4.0,,,,,,,,,5.0,4.0,4.0,,,,,,,,,,,,5.0,,,
BPenuliar2015,5.0,,,,,,,,,,4.0,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,5.0,,,
noodlesthepoet,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthonyklcheung,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William_Nisperos-Tx,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluestravelerz,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,4.0,,,
E5711HHandyt,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H75travel,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfindysz,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risarockett,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IlanB,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Lindacyu,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thecheechman,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark L,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack P,3.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
Fabian M,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jle10,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monrabdog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marjorie Y,3.0,,,,4.0,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,4.0,,,,,,,3.0,
Marjorie Y,3.0,,,,4.0,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,4.0,,,,,,,3.0,
chucktodd75,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCofOC,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David G,4.0,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,,5.0,,,
cyu590,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFOYYZ_Eric,4.0,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,
John G,5.0,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,5.0,
Lisado976,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidov,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rednpeanut,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vailwood,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
Veronica F,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102audreyc,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate_TG,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC8882013,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC8882013,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EandVic Y,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodn742,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M W,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Phil Y,5.0,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,
TravisRymal,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdchance,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed o,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaelfF8139YV,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
511jf,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LakeviewMan,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flounder M,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noriebelle-rn,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winsir,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
winsir,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
Betty123452013,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deliedellc,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeborahC314,4.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
gitaneroyce,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnWFG,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motile,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erin L,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
livelovex7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benjieguev,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659waikitc,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billyjava,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ninersam,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony B,4.0,,,,,,,4.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
CAfruitfly,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avrilx,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShanghaiDeco,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
TeaHsu,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jnlv2trvl,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
Flyer623162,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chanyu1,4.0,,,4.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
sfeats,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upstairsforthinking,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,
SFHillBilly,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnT641,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alohatripper,3.0,4.0,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,4.0,,5.0,,,,5.0,,,
JJPolisky,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirley N,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayAreaTraveler6338,3.0,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
John L,1.0,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,
Gooner10-8,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Gooner10-8,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Gooner10-8,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Gooner10-8,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Gooner10-8,,4.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Gooner10-8,,4.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Clevlander,,5.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
chollandedd,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel S,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discover767864,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666MartinA,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LondonCrawford,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KeiritasYoga,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte1953,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert W,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Lene2,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrightadamjustin,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela S,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TravelMacks,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pwhitcombe,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelley8844,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John T,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,
MorayJohnny,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy L,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy L,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madasa1024,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1347EDiand,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsek810,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AndrewVince,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DobbinsFamily,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventure173341,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
francoisl548,,4.0,,,,,,,,,,,,,,3.0,,5.0,,4.0,,,,,,,,,,,,,,,,,
Kelly-Lexi,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
DBox13,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F T,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheevisor,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSCHWITTS,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ntpcsusu,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
williamLF,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ro953,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhillyBird1,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomme1985,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0hnPM10,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
dred1,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dred1,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justinr74,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longislandtravels,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeisaSport,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,
LifeisaSport,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,
I9580ULrobertp,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RossJG,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNHM17,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cassieweller,,4.0,,,,4.0,,,,,4.0,,,4.0,,4.0,,,,,4.0,,,,,,3.0,,,,,,,4.0,,4.0,4.0
mdgwind,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,
AnthonyB05,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KennethT1693,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MissS85,,5.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
MissS85,,5.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
53john47,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chetzi,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
WilliamM1003,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemonblade,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
613gillianf,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oddbj_rgo2016,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slowsky,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILOUW,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pathfinder635038,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la15ota,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodie S,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sabbaticalplanner958,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robertdana2018,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe K,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueTrain,,5.0,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
BlueTrain,,4.0,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Boodkins,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick R,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riviera_writer,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ry9979,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,
Jim N,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_mike_stoker,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
paulmaya,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rehsinup19,,5.0,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,
WurzelD,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck R,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvWriter,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p0ppy021,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lplawyer,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe C,,5.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,
johnkowloon,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
S M,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wah0069,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wah0069,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewHampshire3,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bev V,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
Colin280862,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike H,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,,,
janninea2015,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria T,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71PeterB,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony D,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
JNKH,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTKtravels,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CruisenFamily,,5.0,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,5.0,,,,
MarshBruce,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,
MarshBruce,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,
MarshBruce,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,
MarshBruce,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,
Beachbenz63,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John M,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,,,4.0
John M,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,4.0
John M,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,4.0
535jayp,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon0008,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian H,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
bobbyjayjay2,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annekscott,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highrollerreefing,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
highrollerreefing,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399carenh,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931niamht,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet P,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,5.0,,,
Alison J,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
ShelleyK202,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Kylie K,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylie K,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803sophiap,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robber222,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic_Polly011,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
Heather d,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon M,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jtj15,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0rnH,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erickalclarke,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca H,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
carrb2014,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
dyerj,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
Janet L,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
Jackie1114,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
LAYLA T,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David P,,5.0,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,5.0,
baywanderer,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,
walter1612,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
